Type,Title/Headline (if applicable),Body / Key Message (if applicable),Image or Video,External Link (if applicable)
Video: text embedded,How Your Bracelet Changes Lives!,,https://youtube.com/shorts/y4uJEqQS_js?si=t3QNKgrP5uXQEbGM,
Text over image,Women We Love: Dr. Jane Goodall,You have to decide what kind of difference you want to make.,photos\001_Women_We_Love__Dr__Jane_Goodall.jpg,
Video: with text embedded: a moment with our artisans,,,https://youtube.com/shorts/A4Regri5f_I,
Text over video,Women We Love: Anna Quindlen ,"I woke up one morning and thought, ""I am enough.""",https://youtube.com/shorts/Tt4f_eTdIF4,
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Fixing Table,photos\002_Life_Charmed__Quick_Read.jpg,https://footforwardfund.org/charmed-life-updates.html#story92
Text over image,Women We Love: Maya Angelou,I am grateful to be a woman. I must have done something great in another life.,photos\003_Women_We_Love__Maya_Angelou.jpg,
Text over video + Link to an external URL,Life|Charmed: Quick Read,An Unexpected Hero in London,https://youtube.com/shorts/JjjRJzZzEcU,https://www.footforwardfund.org/charmed-life-updates.html#a-mother-a-subway-a-stranger
Text Over Image,A REMINDER:,Let the moment land where it wants to.,photos\004_A_REMINDER_.jpg,
Text over video,Women We Love: Ruth Bader Ginsburg,"As women achieve power, the barriers will fall. ",https://youtube.com/shorts/xGHTlh8nbjI?feature=share,
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,A Breakdown Repaired by Kindness,photos\005_Life_Charmed__Quick_Read.jpg,https://footforwardfund.org/charmed-life-updates.html#story01
Text over image,Women We Love: Malala Yousafzai,"I think realizing that you’re not alone, that you are standing with millions of your sisters around the world is vital.",photos\006_Women_We_Love__Malala_Yousafzai.jpg,
Text Over Image + Link to an external URL,"Hey There, Life Changer!","Your Charmed Life bracelet supports our girls' menstrual health! Click to ""Learn More"" (and do more!)",photos\007_Hey_There__Life_Changer_.jpg,https://www.zeffy.com/en-US/donation-form/pitch-in-a-pack
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,The Teacher Who Never Quit,photos\008_Life_Charmed__Quick_Read.jpg,https://footforwardfund.org/charmed-life-updates.html#story04
Text over video,Women We Love: Dolly Parton,"As long as you live, there’s something new every day.",photos\009_Women_We_Love__Dolly_Parton.jpg,
Text Over Image + Link to an external URL,"Hey There, Life Changer!","Your Charmed Life bracelet supports our girls' menstrual health! Click to ""Learn More"" (and do more!)",photos\010_Hey_There__Life_Changer_.jpg,https://www.zeffy.com/en-US/donation-form/pitch-in-a-pack
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Letters That Found Their Way Home,photos\011_Life_Charmed__Quick_Read.jpg,https://footforwardfund.org/charmed-life-updates.html#story05
Text over video,Women We Love: Reese Witherspoon,...Step up. Don’t wait for somebody to ask you.,https://youtube.com/shorts/PpNAqMOuUXM,
Text over video + Link to an external video,Life|Charmed: Quick Read,Stars That Blinked Back,https://youtube.com/shorts/nzgZI3ZxcEI,https://footforwardfund.org/charmed-life-updates.html#story08
Text over image,Women We Love: Viola Davis,Womanhood is you.,photos\012_Women_We_Love__Viola_Davis.jpg,
Text Over Image + Link to an external URL,Life|Charmed: Quick Read,Threads Stronger Than Iron,photos\013_Life_Charmed__Quick_Read.jpg,https://footforwardfund.org/charmed-life-updates.html#story07
Text over image,Women We Love: Stephanie Bennett-Henry,"Life is tough, my darling, but so are you.",photos\014_Women_We_Love__Stephanie_Bennett_Henry.jpg,
Text over video + Link to an external URL,Life|Charmed: Quick Read,The Beekeeper’s Quiet Revolution,https://youtube.com/shorts/pS8uORn7ZMM?feature=share,https://footforwardfund.org/charmed-life-updates.html#story10
Text over image,Women We Love: Margaret Fuller,"If you have knowledge, let others light their candles in it.",photos\015_Women_We_Love__Margaret_Fuller.jpg,
